Repo ID,Repo URL,Repo Name,Repo Rating,Repo Rank
120395176,https://github.com/alibaba/easyexcel,alibaba/easyexcel,19523,502
19645525,https://github.com/ericdouglas/ES6-Learning,ericdouglas/ES6-Learning,4588,3702
4637221,https://github.com/powerline/powerline,powerline/powerline,12472,1002
127008307,https://github.com/daviddao/awful-ai,daviddao/awful-ai,5567,2900
1051476,https://github.com/plantuml/plantuml,plantuml/plantuml,3967,4402
53072654,https://github.com/sindresorhus/ora,sindresorhus/ora,6709,2302
9185758,https://github.com/ecomfe/zrender,ecomfe/zrender,4803,3502
140609832,https://github.com/seanmonstar/warp,seanmonstar/warp,4490,3802
5619308,https://github.com/chriskempson/base16,chriskempson/base16,7876,1902
13226404,https://github.com/raml-org/raml-spec,raml-org/raml-spec,3691,4803
4084908,https://github.com/realm/realm-java,realm/realm-java,11117,1202
35914020,https://github.com/ajv-validator/ajv,ajv-validator/ajv,9012,1602
113807330,https://github.com/migueldeicaza/gui.cs,migueldeicaza/gui.cs,5157,3202
84822,https://github.com/beautify-web/js-beautify,beautify-web/js-beautify,7219,2102
70943266,https://github.com/google/bbr,google/bbr,4704,3600
174063999,https://github.com/alibaba/flutter_boost,alibaba/flutter_boost,5046,3302
402046,https://github.com/MrRio/jsPDF,MrRio/jsPDF,21739,402
4568238,https://github.com/expressjs/expressjs.com,expressjs/expressjs.com,3883,4502
80294918,https://github.com/gcanti/io-ts,gcanti/io-ts,4304,4003
9185792,https://github.com/apache/echarts,apache/echarts,45954,103
106061907,https://github.com/CSAILVision/semantic-segmentation-pytorch,CSAILVision/semantic-segmentation-pytorch,3806,4602
88664721,https://github.com/kubernetes/examples,kubernetes/examples,4054,4300
21156908,https://github.com/fastos/fastsocket,fastos/fastsocket,3754,4703
60145667,https://github.com/HotBitmapGG/bilibili-android-client,HotBitmapGG/bilibili-android-client,4390,3903
71551629,https://github.com/carloscuesta/gitmoji,carloscuesta/gitmoji,9440,1503
26382146,https://github.com/joelgrus/data-science-from-scratch,joelgrus/data-science-from-scratch,5894,2703
9325315,https://github.com/strongloop/loopback,strongloop/loopback,13292,903
1529160,https://github.com/ether/etherpad-lite,ether/etherpad-lite,10569,1303
54760438,https://github.com/markerikson/redux-ecosystem-links,markerikson/redux-ecosystem-links,4914,3402
29759715,https://github.com/facebook/zstd,facebook/zstd,14349,803
71701257,https://github.com/icindy/wxParse,icindy/wxParse,7548,2003
31341,https://github.com/ryanb/ruby-warrior,ryanb/ruby-warrior,3625,4903
156127781,https://github.com/zserge/lorca,zserge/lorca,6258,2503
124792826,https://github.com/kamranahmedse/driver.js,kamranahmedse/driver.js,12458,1003
1283503,https://github.com/request/request,request/request,25088,302
15126429,https://github.com/aspnet/Mvc,aspnet/Mvc,5735,2801
13491895,https://github.com/EbookFoundation/free-programming-books,EbookFoundation/free-programming-books,182915,3
17486281,https://github.com/pagekit/pagekit,pagekit/pagekit,5426,3003
11551538,https://github.com/koajs/koa,koajs/koa,31036,203
1206546,https://github.com/winstonjs/winston,winstonjs/winston,17075,603
7550057,https://github.com/doctrine/cache,doctrine/cache,6950,2203
32665718,https://github.com/railsware/upterm,railsware/upterm,19512,503
5552858,https://github.com/cyfdecyf/cow,cyfdecyf/cow,8197,1803
7679716,https://github.com/taobao/nginx-book,taobao/nginx-book,6073,2603
13909573,https://github.com/cisco/openh264,cisco/openh264,4141,4200
3698588,https://github.com/lib/pq,lib/pq,6479,2403
2804438,https://github.com/socketio/engine.io,socketio/engine.io,4227,4103
3951767,https://github.com/phpDocumentor/ReflectionDocBlock,phpDocumentor/ReflectionDocBlock,8544,1703
27382163,https://github.com/iissnan/hexo-theme-next,iissnan/hexo-theme-next,15590,703
5383731,https://github.com/qemu/qemu,qemu/qemu,4587,3703
38071534,https://github.com/vuejs/vue-class-component,vuejs/vue-class-component,5296,3102
47259830,https://github.com/exyte/Macaw,exyte/Macaw,5560,2903
102343794,https://github.com/apache/incubator-brpc,apache/incubator-brpc,11720,1103
5101823,https://github.com/Shopify/dashing,Shopify/dashing,11117,1202
43789644,https://github.com/yuche/vue-strap,yuche/vue-strap,4802,3503
182644013,https://github.com/foxlet/macOS-Simple-KVM,foxlet/macOS-Simple-KVM,9934,1403
110400917,https://github.com/jaredpalmer/after.js,jaredpalmer/after.js,3967,4402
15536831,https://github.com/inorganik/countUp.js,inorganik/countUp.js,6702,2303
2835111,https://github.com/pyinstaller/pyinstaller,pyinstaller/pyinstaller,7876,1902
168060021,https://github.com/google/clusterfuzz,google/clusterfuzz,4489,3803
87123146,https://github.com/paypal/glamorous,paypal/glamorous,3691,4803
18250334,https://github.com/ipkn/crow,ipkn/crow,6257,2504
54360307,https://github.com/uNetworking/uWebSockets,uNetworking/uWebSockets,12454,1004
15204860,https://github.com/papers-we-love/papers-we-love,papers-we-love/papers-we-love,45579,104
760165,https://github.com/buildbot/buildbot,buildbot/buildbot,4587,3703
30732364,https://github.com/Netflix/falcor,Netflix/falcor,9932,1404
4916869,https://github.com/ramsey/uuid,ramsey/uuid,11099,1204
64289545,https://github.com/alibaba/AliSQL,alibaba/AliSQL,4227,4103
95189138,https://github.com/alibaba/p3c,alibaba/p3c,25076,303
5894096,https://github.com/mdo/code-guide,mdo/code-guide,7548,2003
4714614,https://github.com/dc-js/dc.js,dc-js/dc.js,7213,2103
37334619,https://github.com/golang/mock,golang/mock,5426,3003
155437620,https://github.com/akveo/eva-icons,akveo/eva-icons,7870,1904
1824023,https://github.com/SublimeCodeIntel/SublimeCodeIntel,SublimeCodeIntel/SublimeCodeIntel,5045,3304
1409811,https://github.com/cdnjs/cdnjs,cdnjs/cdnjs,9012,1602
16899487,https://github.com/filhodanuvem/gitql,filhodanuvem/gitql,5559,2904
82209071,https://github.com/ivanvorobei/SPPermissions,ivanvorobei/SPPermissions,4304,4003
65513748,https://github.com/iamtrask/Grokking-Deep-Learning,iamtrask/Grokking-Deep-Learning,5156,3203
22046023,https://github.com/facebook/flux,facebook/flux,17057,604
115458656,https://github.com/hwayne/awesome-cold-showers,hwayne/awesome-cold-showers,4487,3804
69470049,https://github.com/surmon-china/vue-video-player,surmon-china/vue-video-player,3691,4803
6834703,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,14327,804
24161015,https://github.com/agrosner/DBFlow,agrosner/DBFlow,4799,3504
391150,https://github.com/zaach/jison,zaach/jison,3883,4502
20349686,https://github.com/olivierlacan/keep-a-changelog,olivierlacan/keep-a-changelog,4701,3603
11730342,https://github.com/vuejs/vue,vuejs/vue,182035,4
8805592,https://github.com/szimek/signature_pad,szimek/signature_pad,6949,2204
68475958,https://github.com/nolanlawson/optimize-js,nolanlawson/optimize-js,3754,4703
45603512,https://github.com/microsoft/vscode-extension-samples,microsoft/vscode-extension-samples,4053,4303
49010787,https://github.com/mhinz/vim-galore,mhinz/vim-galore,11691,1104
32313383,https://github.com/pxb1988/dex2jar,pxb1988/dex2jar,8544,1703
27561102,https://github.com/stamparm/maltrail,stamparm/maltrail,3966,4404
79510167,https://github.com/pypa/pipenv,pypa/pipenv,21724,403
1871273,https://github.com/jverkoey/nimbus,jverkoey/nimbus,6477,2404
4190976,https://github.com/ziahamza/webui-aria2,ziahamza/webui-aria2,8191,1804
3422939,https://github.com/dropzone/dropzone,dropzone/dropzone,15585,704
17371412,https://github.com/h2oai/h2o-3,h2oai/h2o-3,5294,3104
32866454,https://github.com/vurtun/nuklear,vurtun/nuklear,13292,903
247725846,https://github.com/extrawurst/gitui,extrawurst/gitui,3624,4904
34659664,https://github.com/weaveworks/scope,weaveworks/scope,4913,3403
24743779,https://github.com/timehop/sticky-headers-recyclerview,timehop/sticky-headers-recyclerview,3690,4806
76171100,https://github.com/krzysztofzablocki/Sourcery,krzysztofzablocki/Sourcery,5893,2704
11267509,https://github.com/bumptech/glide,bumptech/glide,31031,204
24162262,https://github.com/zeman/perfmap,zeman/perfmap,3804,4604
58623321,https://github.com/bilibili/flv.js,bilibili/flv.js,19489,504
64293719,https://github.com/pinterest/ktlint,pinterest/ktlint,4140,4204
33916850,https://github.com/spatie/laravel-medialibrary,spatie/laravel-medialibrary,4390,3903
69739040,https://github.com/alexjc/neural-enhance,alexjc/neural-enhance,11099,1204
13431235,https://github.com/soulmachine/leetcode,soulmachine/leetcode,9433,1504
29445122,https://github.com/skyline75489/what-happens-when-zh_CN,skyline75489/what-happens-when-zh_CN,6071,2604
738491,https://github.com/facebook/facebook-ios-sdk,facebook/facebook-ios-sdk,6702,2303
29371034,https://github.com/micro/micro,micro/micro,9917,1405
116672811,https://github.com/30-seconds/30-seconds-of-python,30-seconds/30-seconds-of-python,7211,2104
90042534,https://github.com/pojala/electrino,pojala/electrino,4052,4304
458058,https://github.com/symfony/symfony,symfony/symfony,25075,304
20553267,https://github.com/peco/peco,peco/peco,6255,2505
18079664,https://github.com/kanaka/mal,kanaka/mal,7547,2005
36027077,https://github.com/karpathy/char-rnn,karpathy/char-rnn,10563,1304
1445827,https://github.com/jspahrsummers/libextobjc,jspahrsummers/libextobjc,4487,3804
338818430,https://github.com/upgundecha/howtheysre,upgundecha/howtheysre,4587,3703
5805256,https://github.com/lua/lua,lua/lua,4226,4105
30171828,https://github.com/rappasoft/laravel-boilerplate,rappasoft/laravel-boilerplate,5045,3304
1424470,https://github.com/moment/moment,moment/moment,45573,105
48446680,https://github.com/googlesamples/easypermissions,googlesamples/easypermissions,9006,1604
9795883,https://github.com/louischatriot/nedb,louischatriot/nedb,12444,1005
62263938,https://github.com/jwasham/computer-science-flash-cards,jwasham/computer-science-flash-cards,5558,2905
815644,https://github.com/miekg/dns,miekg/dns,5425,3005
224444129,https://github.com/alyssaxuu/flowy,alyssaxuu/flowy,7864,1905
43209178,https://github.com/una/CSSgram,una/CSSgram,5155,3204
353561,https://github.com/vakata/jstree,vakata/jstree,4797,3505
184460,https://github.com/celery/celery,celery/celery,17021,605
25178920,https://github.com/jwilder/dockerize,jwilder/dockerize,3881,4505
13330259,https://github.com/request/request-promise,request/request-promise,4701,3603
39150065,https://github.com/negomi/react-burger-menu,negomi/react-burger-menu,4303,4005
7177269,https://github.com/shadowsocks/shadowsocks-libev,shadowsocks/shadowsocks-libev,14304,805
151885034,https://github.com/trimstray/the-practical-linux-hardening-guide,trimstray/the-practical-linux-hardening-guide,8543,1705
79746008,https://github.com/gobwas/ws,gobwas/ws,3753,4705
10270250,https://github.com/facebook/react,facebook/react,166918,5
18256968,https://github.com/utom/sketch-measure,utom/sketch-measure,6928,2205
6207167,https://github.com/mockito/mockito,mockito/mockito,11675,1105
84934979,https://github.com/Meituan-Dianping/Robust,Meituan-Dianping/Robust,3965,4405
75829600,https://github.com/wiseodd/generative-models,wiseodd/generative-models,6472,2405
24293205,https://github.com/ashleymills/Reachability.swift,ashleymills/Reachability.swift,7210,2105
25979092,https://github.com/lzyzsd/CircleProgress,lzyzsd/CircleProgress,3624,4904
2609642,https://github.com/feathersjs/feathers,feathersjs/feathers,13284,905
7820076,https://github.com/desandro/draggabilly,desandro/draggabilly,3690,4806
67687706,https://github.com/kdeldycke/awesome-falsehood,kdeldycke/awesome-falsehood,15582,705
97249406,https://github.com/denysdovhan/wtfjs,denysdovhan/wtfjs,21719,404
33456123,https://github.com/nickoneill/PermissionScope,nickoneill/PermissionScope,4911,3404
100464123,https://github.com/microsoft/MMdnn,microsoft/MMdnn,5293,3105
2207789,https://github.com/chrippa/livestreamer,chrippa/livestreamer,3804,4604
47099511,https://github.com/jlevy/og-equity-compensation,jlevy/og-equity-compensation,8187,1805
19340009,https://github.com/daimajia/NumberProgressBar,daimajia/NumberProgressBar,5893,2704
3269452,https://github.com/ECSlidingViewController/ECSlidingViewController,ECSlidingViewController/ECSlidingViewController,4389,3905
36674234,https://github.com/equinusocio/material-theme,equinusocio/material-theme,11093,1206
23029617,https://github.com/h2o/h2o,h2o/h2o,9428,1505
90778969,https://github.com/googlecreativelab/quickdraw-dataset,googlecreativelab/quickdraw-dataset,4139,4205
1129010,https://github.com/blueimp/jQuery-File-Upload,blueimp/jQuery-File-Upload,31015,205
15040596,https://github.com/signalapp/Signal-Server,signalapp/Signal-Server,6069,2605
61715431,https://github.com/Binaryify/NeteaseCloudMusicApi,Binaryify/NeteaseCloudMusicApi,19448,505
140656,https://github.com/jonas/tig,jonas/tig,9915,1406
22456440,https://github.com/ppy/osu,ppy/osu,6701,2305
132914,https://github.com/keycastr/keycastr,keycastr/keycastr,6251,2506
